DRR075663	DRR075665	DRR075666	DRR075668	DRR075669	DRR075671	DRR075672	DRR075674	DRR075675	DRR075655	DRR075656	DRR075658	DRR075659	DRR075660
ASV.01	0	0	0	0	0	0	0	0	0	25	54	50	140	30029
ASV.02	0	1497	0	385	778	2228	5658	137	11110	0	0	0	0	0
ASV.03	0	0	0	0	0	14	0	8	273	6406	14036	34	105	65
ASV.04	8	450	0	0	0	0	0	10134	7523	1922	0	6	17	16
ASV.05	0	0	0	306	0	16296	0	51	38	0	0	0	0	0
ASV.06	0	0	0	11	0	38	12	7617	7117	0	0	0	0	0
ASV.07	0	0	0	0	14000	0	0	0	0	0	0	0	0	0
ASV.08	0	2966	0	7147	148	574	327	0	0	0	0	0	0	0
ASV.09	0	1761	94	392	2647	2267	1037	30	830	0	0	0	0	0
ASV.010	0	0	0	0	10	0	0	8940	0	0	0	0	0	0
ASV.011	0	0	0	0	0	0	0	0	0	8460	4	0	13	6
ASV.012	0	0	0	0	4734	3023	0	0	0	0	0	0	0	0
ASV.013	17	7	0	12	0	6541	0	0	0	0	0	0	0	0
ASV.014	6	2064	139	546	78	2043	914	0	0	0	0	0	0	0
ASV.015	5337	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.016	0	0	0	0	0	0	0	3624	1125	0	0	0	0	0
ASV.017	0	0	0	0	43	0	0	0	0	0	3901	0	24	22
ASV.018	0	0	0	0	0	3554	0	0	0	0	0	0	0	0
ASV.019	3177	0	264	0	0	0	0	0	0	0	0	0	0	0
ASV.020	12	0	899	0	2200	0	0	19	9	0	0	0	0	0
ASV.021	0	0	0	0	0	564	2522	0	6	0	0	0	0	0
ASV.022	0	0	0	2408	163	122	97	0	0	0	0	0	0	0
ASV.023	0	0	82	0	120	0	2093	0	0	0	0	0	0	0
ASV.024	0	0	0	0	0	0	0	2143	0	0	0	0	0	0
ASV.025	0	0	41	0	684	687	574	0	0	0	0	0	0	0
ASV.026	0	0	0	0	1781	0	0	13	0	0	0	0	0	0
ASV.027	0	0	0	0	1716	0	0	0	0	0	0	0	0	0
ASV.028	4	69	0	20	52	217	703	52	514	0	18	0	12	0
ASV.029	0	0	0	0	0	0	1588	0	0	0	0	0	0	0
ASV.030	0	0	0	0	0	1479	0	0	6	0	0	0	0	0
ASV.031	0	0	0	0	0	0	0	0	0	914	0	0	0	0
ASV.032	0	0	0	0	0	0	0	0	899	0	0	0	0	0
ASV.033	0	0	0	775	0	0	0	0	0	0	0	0	0	0
ASV.034	0	0	0	0	0	775	0	0	0	0	0	0	0	0
ASV.035	0	0	0	0	0	0	0	0	0	0	0	0	0	759
ASV.036	0	0	0	0	0	0	723	13	0	0	0	0	0	0
ASV.037	0	0	6	570	66	69	0	0	0	0	0	0	0	0
ASV.038	0	0	0	0	0	0	0	0	0	0	3	701	4	0
ASV.039	33	0	0	0	0	0	0	21	624	0	0	0	0	0
ASV.040	0	0	0	0	0	0	677	0	0	0	0	0	0	0
ASV.041	0	0	0	669	0	0	0	0	0	0	0	0	0	0
ASV.042	0	0	18	0	615	0	0	0	0	0	0	0	0	0
ASV.043	0	124	0	200	86	37	32	0	106	0	0	0	0	0
ASV.044	0	0	0	0	0	0	565	0	0	0	0	0	0	0
ASV.045	0	0	0	0	0	0	0	0	0	0	546	0	0	0
ASV.046	0	0	537	0	0	0	0	0	0	0	0	0	0	0
ASV.047	0	0	0	0	0	520	0	0	0	0	0	0	0	0
ASV.048	0	0	0	0	0	0	0	0	511	0	0	0	0	0
ASV.049	0	0	0	0	497	0	0	0	0	0	0	0	0	0
ASV.050	0	0	0	0	0	0	0	0	0	0	0	0	492	0
ASV.051	0	0	0	0	0	473	0	0	0	0	0	0	0	0
ASV.052	0	0	14	8	0	436	0	0	0	0	0	0	0	0
ASV.053	0	0	0	0	0	0	0	0	450	0	0	0	0	0
ASV.054	0	0	0	0	0	0	0	0	0	0	0	418	0	0
ASV.055	0	0	0	0	0	397	0	0	0	0	0	0	0	0
ASV.056	0	0	0	0	0	0	384	0	0	0	0	0	0	0
ASV.057	0	73	302	0	0	0	0	0	0	0	0	0	0	0
ASV.058	0	256	0	51	32	0	0	0	0	0	0	0	0	0
ASV.059	0	0	0	0	0	0	0	0	0	0	0	0	284	0
ASV.060	0	0	0	0	0	0	0	0	0	0	0	0	0	275
ASV.061	0	0	0	0	0	0	0	0	263	0	0	0	0	0
ASV.062	0	0	0	0	0	0	0	0	0	0	0	0	0	260
ASV.063	0	0	0	0	0	0	0	0	0	0	0	245	0	0
ASV.064	0	0	0	0	0	0	0	0	0	0	0	0	0	243
ASV.065	0	53	0	0	0	0	0	0	185	0	0	0	0	0
ASV.066	0	0	0	0	0	0	0	231	0	0	0	0	0	0
ASV.067	0	0	0	0	0	0	0	0	0	0	0	0	0	224
ASV.068	0	0	0	0	0	0	0	217	0	0	0	0	0	0
ASV.069	0	0	0	0	0	0	0	0	0	23	182	0	0	0
ASV.070	0	0	0	0	0	196	0	0	0	0	0	0	0	0
ASV.071	0	0	0	0	0	0	0	181	0	0	0	0	0	0
ASV.072	0	0	0	0	0	0	0	0	0	0	180	0	0	0
ASV.073	0	178	0	0	0	0	0	0	0	0	0	0	0	0
ASV.074	0	0	0	0	0	172	0	0	0	0	0	0	0	0
ASV.075	0	0	0	0	172	0	0	0	0	0	0	0	0	0
ASV.076	0	168	0	0	0	0	0	0	0	0	0	0	0	0
ASV.077	0	0	0	0	0	163	0	0	0	0	0	0	0	0
ASV.078	0	0	0	0	0	0	5	157	0	0	0	0	0	0
ASV.079	0	160	0	0	0	0	0	0	0	0	0	0	0	0
ASV.080	0	0	0	0	0	0	0	157	0	0	0	0	0	0
ASV.081	0	0	0	0	0	156	0	0	0	0	0	0	0	0
ASV.082	0	0	0	0	0	0	0	0	155	0	0	0	0	0
ASV.083	154	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.084	0	0	0	0	0	0	0	0	0	0	151	0	0	0
ASV.085	0	0	0	0	0	149	0	0	0	0	0	0	0	0
ASV.086	0	0	0	0	0	145	0	0	0	0	0	0	0	0
ASV.087	0	0	0	0	0	144	0	0	0	0	0	0	0	0
ASV.088	0	0	0	0	0	0	0	0	139	0	0	0	0	0
ASV.089	0	0	0	0	133	0	0	0	0	0	0	0	0	0
ASV.090	0	0	0	0	0	123	0	0	0	0	0	0	0	0
ASV.091	0	0	0	0	0	0	0	0	0	0	0	0	122	0
ASV.092	0	0	0	0	119	0	0	0	0	0	0	0	0	0
ASV.093	0	0	0	0	0	0	0	0	0	0	0	0	117	0
ASV.094	0	0	0	0	0	0	0	0	0	0	0	0	116	0
ASV.095	0	0	0	0	0	0	0	0	0	0	113	0	0	0
ASV.096	0	0	0	0	112	0	0	0	0	0	0	0	0	0
ASV.097	0	0	0	0	0	0	0	0	0	110	0	0	0	0
ASV.098	0	0	0	0	0	0	0	0	0	0	0	0	109	0
ASV.099	0	0	0	0	0	0	0	0	0	0	109	0	0	0
ASV.0100	0	0	0	0	0	0	0	109	0	0	0	0	0	0
ASV.0101	0	0	0	0	0	0	0	0	0	0	0	108	0	0
ASV.0102	0	0	0	0	0	0	105	0	0	0	0	0	0	0
ASV.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	101
ASV.0104	0	0	0	0	0	0	0	0	100	0	0	0	0	0
ASV.0105	0	0	0	0	0	0	0	99	0	0	0	0	0	0
ASV.0106	0	0	0	0	0	0	0	0	0	0	0	96	0	2
ASV.0107	0	0	0	0	0	0	0	92	0	0	0	0	0	0
ASV.0108	0	0	0	0	0	0	0	92	0	0	0	0	0	0
ASV.0109	0	0	0	0	0	0	0	0	0	0	0	0	87	0
ASV.0110	0	0	0	0	0	0	0	0	0	83	0	0	0	0
ASV.0111	0	82	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0112	0	0	0	0	0	81	0	0	0	0	0	0	0	0
ASV.0113	0	0	0	0	0	0	0	0	0	81	0	0	0	0
ASV.0114	0	0	0	0	75	0	0	0	0	0	0	0	0	0
ASV.0115	0	0	0	0	0	74	0	0	0	0	0	0	0	0
ASV.0116	0	0	0	0	71	0	0	0	0	0	0	0	0	0
ASV.0117	0	0	0	0	0	0	0	0	0	0	0	0	71	0
ASV.0118	0	0	0	0	0	0	0	0	0	0	65	0	0	0
ASV.0119	0	0	0	0	64	0	0	0	0	0	0	0	0	0
ASV.0120	0	0	0	0	0	0	0	0	0	0	63	0	0	0
ASV.0121	62	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0122	0	0	0	0	61	0	0	0	0	0	0	0	0	0
ASV.0123	0	0	0	0	0	0	0	0	0	0	0	0	0	60
ASV.0124	0	0	0	0	0	0	0	0	0	0	0	0	59	0
ASV.0125	0	0	0	0	0	57	0	0	0	0	0	0	0	0
ASV.0126	0	0	0	0	56	0	0	0	0	0	0	0	0	0
ASV.0127	0	0	0	0	0	0	0	54	0	0	0	0	0	0
ASV.0128	0	0	0	0	0	52	0	0	0	0	0	0	0	0
ASV.0129	48	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV.0130	0	0	0	0	0	0	0	0	0	0	51	0	0	0
ASV.0131	0	0	0	0	0	50	0	0	0	0	0	0	0	0
ASV.0132	0	0	0	0	0	0	0	0	0	0	0	0	49	0
ASV.0133	0	0	0	0	46	0	0	0	0	0	0	0	0	0
ASV.0134	0	0	0	0	0	0	0	0	0	0	0	0	45	0
ASV.0135	0	0	0	0	0	0	0	0	44	0	0	0	0	0
ASV.0136	0	0	0	0	0	0	0	0	0	0	0	0	42	0
ASV.0137	0	0	0	0	0	0	0	0	0	0	0	0	40	0
ASV.0138	0	0	0	0	0	39	0	0	0	0	0	0	0	0
ASV.0139	0	0	0	0	0	0	0	0	0	0	0	0	39	0
ASV.0140	0	0	0	0	0	0	0	0	0	0	38	0	0	0
ASV.0141	0	0	0	0	37	0	0	0	0	0	0	0	0	0
ASV.0142	0	0	0	0	0	0	0	0	0	0	0	0	36	0
ASV.0143	0	0	0	0	0	0	0	0	0	0	0	0	35	0
ASV.0144	0	0	0	31	0	0	0	0	0	0	0	0	0	0
ASV.0145	0	0	0	0	0	0	0	30	0	0	0	0	0	0
ASV.0146	0	0	0	0	0	30	0	0	0	0	0	0	0	0
ASV.0147	0	0	0	0	30	0	0	0	0	0	0	0	0	0
ASV.0148	0	0	0	0	0	0	0	0	0	0	0	0	29	0
ASV.0149	0	0	0	0	0	0	0	0	0	0	0	28	0	0
ASV.0150	0	0	0	0	0	0	0	0	0	0	0	28	0	0
ASV.0151	0	0	0	0	0	0	0	0	0	0	0	27	0	0
ASV.0152	0	0	0	0	0	0	0	0	0	0	27	0	0	0
ASV.0153	0	0	0	0	0	0	0	0	0	0	0	27	0	0
ASV.0154	0	0	0	0	0	0	0	0	0	0	0	0	0	26
ASV.0155	0	0	0	0	0	0	0	0	0	0	0	0	25	0
ASV.0156	0	0	0	0	0	0	0	0	0	0	0	25	0	0
ASV.0157	0	0	0	0	0	24	0	0	0	0	0	0	0	0
ASV.0158	0	0	0	0	0	0	0	0	0	0	23	0	0	0
ASV.0159	0	0	0	0	0	0	0	0	0	23	0	0	0	0
ASV.0160	0	0	0	0	0	0	0	0	0	0	0	0	22	0
ASV.0161	0	0	0	0	0	0	0	0	0	0	0	0	22	0
ASV.0162	0	0	0	0	0	0	0	0	0	0	0	21	0	0
ASV.0163	0	0	0	0	0	0	0	0	0	0	0	0	20	0
ASV.0164	0	0	0	0	0	0	0	18	0	0	0	0	0	0
ASV.0165	0	0	0	0	0	0	0	0	0	0	3	15	0	0
ASV.0166	0	0	0	0	0	0	0	0	0	0	0	17	0	0
ASV.0167	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV.0168	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV.0169	0	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0170	0	0	0	0	0	0	0	0	0	0	17	0	0	0
ASV.0171	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV.0172	0	0	0	0	0	0	0	0	0	0	16	0	0	0
ASV.0173	0	0	0	0	0	0	0	0	0	0	0	16	0	0
ASV.0174	0	0	0	0	0	0	0	0	0	0	15	0	0	0
ASV.0175	0	0	0	0	0	0	0	0	0	0	0	0	15	0
ASV.0176	0	0	0	0	0	0	0	0	0	0	14	0	0	0
ASV.0177	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ASV.0178	0	0	0	0	0	0	0	0	0	0	0	13	0	0
ASV.0179	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0180	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ASV.0181	0	0	0	0	0	0	0	0	0	0	11	0	0	0
ASV.0182	0	0	0	0	0	0	0	0	0	0	0	11	0	0
ASV.0183	0	0	0	0	0	0	0	0	11	0	0	0	0	0
ASV.0184	0	0	0	0	0	0	0	0	0	0	0	0	10	0
ASV.0185	0	0	0	0	0	0	0	0	0	0	9	0	0	0
ASV.0186	0	0	0	0	0	0	0	0	0	0	0	9	0	0
ASV.0187	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ASV.0188	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV.0189	0	0	0	0	9	0	0	0	0	0	0	0	0	0
ASV.0190	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV.0191	0	0	0	0	0	0	0	0	0	0	0	9	0	0
ASV.0192	0	0	0	0	0	0	0	0	0	0	0	8	0	0
ASV.0193	0	0	0	0	0	0	0	0	0	0	0	0	8	0
ASV.0194	0	0	0	0	0	0	0	0	0	0	0	0	8	0
ASV.0195	0	0	0	0	0	0	0	0	0	0	0	0	8	0
ASV.0196	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0197	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV.0198	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ASV.0199	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ASV.0200	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ASV.0201	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV.0202	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ASV.0203	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ASV.0204	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0205	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV.0206	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ASV.0207	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV.0208	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV.0209	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ASV.0210	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ASV.0211	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0212	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV.0213	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0214	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0215	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0216	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0217	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV.0218	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ASV.0219	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.0220	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV.0221	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV.0222	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV.0223	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV.0224	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV.0225	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV.0226	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ASV.0227	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV.0228	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV.0229	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV.0230	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV.0231	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV.0232	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV.0234	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV.0235	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV.0236	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV.0237	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.0238	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV.0239	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV.0240	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV.0241	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV.0242	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV.0243	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV.0244	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV.0245	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV.0246	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV.0247	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV.0248	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV.0249	0	0	0	0	0	0	0	0	0	0	1	0	0	0
