SRR9675236	SRR9675237	SRR9675238	SRR9675239	SRR9675240	SRR9675241
ASV.1	12610	14	0	101	15861	37722
ASV.2	23	15400	25161	12902	6378	167
ASV.3	0	0	12608	729	653	0
ASV.4	0	8220	0	0	0	0
ASV.5	0	6588	0	0	0	0
ASV.6	0	0	0	6026	0	0
ASV.7	4536	0	0	473	326	0
ASV.8	360	0	0	3018	523	0
ASV.9	0	3247	0	0	0	0
ASV.10	0	0	2434	0	263	0
ASV.11	2078	0	0	23	450	0
ASV.12	1943	0	0	0	263	0
ASV.13	1938	0	0	43	217	0
ASV.14	8	1994	6	9	51	0
ASV.15	0	0	0	1164	762	0
ASV.16	1509	0	0	14	163	0
ASV.17	0	0	0	781	445	0
ASV.18	0	0	0	1171	0	0
ASV.19	910	0	0	0	224	0
ASV.20	0	0	0	756	362	0
ASV.21	0	0	0	663	356	0
ASV.26	0	0	0	683	0	0
ASV.28	0	623	0	0	0	0
ASV.29	0	0	0	396	224	0
ASV.31	0	0	0	417	164	0
ASV.41	0	408	0	0	0	0
ASV.44	0	377	0	0	0	0
ASV.49	0	368	0	0	0	0
ASV.55	0	0	0	315	0	0
ASV.58	0	0	294	0	0	0
ASV.64	0	0	264	0	0	0
ASV.67	217	0	0	0	27	0
ASV.71	0	0	241	0	0	0
ASV.74	0	0	0	226	0	0
ASV.75	0	0	0	222	0	0
ASV.76	0	221	0	0	0	0
ASV.81	154	0	0	0	33	19
ASV.84	0	189	0	0	0	0
ASV.85	0	0	182	0	0	0
ASV.95	0	160	0	0	0	0
ASV.98	0	0	155	0	0	0
ASV.105	125	0	0	0	21	0
ASV.106	0	0	143	0	0	0
ASV.111	0	0	134	0	0	0
ASV.129	0	0	0	106	0	0
ASV.137	0	101	0	0	0	0
ASV.147	0	0	91	0	0	0
ASV.155	70	0	0	0	15	0
ASV.160	0	0	0	83	0	0
ASV.168	55	0	0	0	20	0
ASV.185	0	66	0	0	0	0
ASV.189	65	0	0	0	0	0
ASV.190	59	0	0	0	3	0
ASV.230	49	0	0	0	0	0
ASV.252	0	0	44	0	0	0
ASV.276	36	0	0	0	1	0
ASV.312	0	0	0	0	30	0
ASV.326	0	28	0	0	0	0
ASV.329	27	0	0	0	0	0
ASV.421	0	17	0	0	0	0
ASV.422	0	0	17	0	0	0
ASV.424	0	0	17	0	0	0
ASV.448	0	15	0	0	0	0
ASV.457	0	14	0	0	0	0
ASV.462	0	0	0	0	14	0
ASV.475	0	13	0	0	0	0
ASV.480	0	0	0	13	0	0
ASV.506	11	0	0	0	0	0
ASV.507	11	0	0	0	0	0
ASV.518	0	0	11	0	0	0
ASV.565	9	0	0	0	0	0
ASV.568	0	7	0	0	2	0
ASV.606	0	0	0	8	0	0
ASV.632	0	0	0	7	0	0
ASV.684	0	0	0	0	6	0
ASV.727	0	0	0	5	0	0
ASV.728	0	0	0	5	0	0
ASV.729	0	0	0	5	0	0
ASV.756	4	0	0	0	0	0
ASV.795	0	0	4	0	0	0
ASV.813	0	0	0	4	0	0
ASV.825	0	0	0	0	4	0
ASV.861	0	3	0	0	0	0
ASV.878	0	0	0	3	0	0
ASV.881	0	0	0	3	0	0
ASV.988	0	2	0	0	0	0
ASV.1004	0	0	2	0	0	0
ASV.1082	0	0	0	0	2	0
ASV.1152	0	0	0	0	0	2
ASV.1249	0	0	1	0	0	0
