SRR13612873	SRR13612874	SRR13612875	SRR13612876
ASV.1	23136	21188	20393	16191
ASV.2	3095	1199	9333	7275
ASV.3	2451	3027	2388	1937
ASV.4	1995	3614	1519	1106
ASV.5	3076	2182	1380	1373
ASV.6	1896	1817	2421	1599
ASV.7	2296	1592	616	422
ASV.11	782	753	168	156
ASV.16	341	252	232	158
ASV.18	0	0	974	0
ASV.19	336	317	125	114
ASV.22	288	174	153	68
ASV.30	0	369	0	0
ASV.32	0	0	0	323
ASV.33	56	102	130	15
ASV.38	99	57	59	49
ASV.41	175	63	0	0
ASV.42	218	0	0	0
ASV.43	83	55	72	0
ASV.46	0	0	191	0
ASV.49	0	173	0	0
ASV.51	0	170	0	0
ASV.57	20	57	59	0
ASV.60	0	0	63	63
ASV.61	0	0	0	125
ASV.65	0	108	0	0
ASV.69	40	46	0	10
ASV.71	0	95	0	0
ASV.72	0	94	0	0
ASV.75	0	15	35	36
ASV.76	15	17	34	15
ASV.80	0	63	0	0
ASV.92	38	7	3	0
ASV.98	0	44	0	0
ASV.100	0	0	0	43
ASV.104	0	30	0	10
ASV.106	0	27	12	0
ASV.108	0	20	10	8
ASV.110	21	0	0	16
ASV.112	10	18	8	0
ASV.113	24	10	0	0
ASV.115	5	6	21	0
ASV.116	0	0	32	0
ASV.119	31	0	0	0
ASV.122	28	0	0	0
ASV.126	27	0	0	0
ASV.128	0	20	0	5
ASV.131	17	7	0	0
ASV.132	17	0	6	0
ASV.133	0	0	0	23
ASV.135	0	12	10	0
ASV.137	14	6	0	0
ASV.139	0	0	20	0
ASV.140	0	0	0	20
ASV.142	8	11	0	0
ASV.143	0	9	10	0
ASV.145	0	0	19	0
ASV.146	8	10	0	0
ASV.149	0	18	0	0
ASV.156	0	0	0	17
ASV.157	8	8	0	0
ASV.159	0	0	16	0
ASV.161	0	15	0	0
ASV.165	6	8	0	0
ASV.166	0	14	0	0
ASV.167	0	14	0	0
ASV.168	0	14	0	0
ASV.172	0	0	0	14
ASV.173	13	0	0	0
ASV.176	0	7	6	0
ASV.177	0	13	0	0
ASV.178	0	13	0	0
ASV.181	7	5	0	0
ASV.182	12	0	0	0
ASV.183	12	0	0	0
ASV.185	0	5	7	0
ASV.186	0	12	0	0
ASV.188	11	0	0	0
ASV.189	11	0	0	0
ASV.190	11	0	0	0
ASV.191	0	11	0	0
ASV.192	0	11	0	0
ASV.193	0	0	11	0
ASV.194	0	0	11	0
ASV.195	0	0	11	0
ASV.196	6	4	0	0
ASV.197	10	0	0	0
ASV.202	0	10	0	0
ASV.203	0	10	0	0
ASV.205	0	10	0	0
ASV.206	0	0	10	0
ASV.208	9	0	0	0
ASV.209	9	0	0	0
ASV.211	0	6	0	3
ASV.212	0	0	9	0
ASV.214	8	0	0	0
ASV.216	8	0	0	0
ASV.217	0	5	0	3
ASV.218	0	8	0	0
ASV.220	0	0	8	0
ASV.226	7	0	0	0
ASV.227	7	0	0	0
ASV.228	7	0	0	0
ASV.229	7	0	0	0
ASV.231	0	7	0	0
ASV.232	0	7	0	0
ASV.233	0	7	0	0
ASV.235	0	7	0	0
ASV.237	0	0	0	7
ASV.238	6	0	0	0
ASV.239	6	0	0	0
ASV.240	0	6	0	0
ASV.246	0	0	6	0
ASV.247	0	0	6	0
ASV.249	0	0	0	6
ASV.250	5	0	0	0
ASV.251	5	0	0	0
ASV.252	5	0	0	0
ASV.253	5	0	0	0
ASV.254	5	0	0	0
ASV.255	5	0	0	0
ASV.258	5	0	0	0
ASV.259	0	5	0	0
ASV.260	0	5	0	0
ASV.263	0	5	0	0
ASV.264	0	0	5	0
ASV.265	0	0	5	0
ASV.268	0	0	0	5
ASV.269	4	0	0	0
ASV.270	4	0	0	0
ASV.271	4	0	0	0
ASV.272	4	0	0	0
ASV.273	4	0	0	0
ASV.274	4	0	0	0
ASV.275	4	0	0	0
ASV.276	4	0	0	0
ASV.277	4	0	0	0
ASV.279	0	4	0	0
ASV.280	0	4	0	0
ASV.281	0	4	0	0
ASV.282	0	4	0	0
ASV.283	0	4	0	0
ASV.284	0	4	0	0
ASV.285	0	4	0	0
ASV.289	0	0	4	0
ASV.290	0	0	4	0
ASV.291	0	0	4	0
ASV.300	0	0	0	4
ASV.301	3	0	0	0
ASV.302	3	0	0	0
ASV.303	3	0	0	0
ASV.304	3	0	0	0
ASV.305	3	0	0	0
ASV.306	3	0	0	0
ASV.307	3	0	0	0
ASV.308	3	0	0	0
ASV.312	0	3	0	0
ASV.313	0	3	0	0
ASV.314	0	3	0	0
ASV.315	0	3	0	0
ASV.316	0	3	0	0
ASV.317	0	3	0	0
ASV.318	0	3	0	0
ASV.325	0	3	0	0
ASV.328	0	0	3	0
ASV.329	0	0	3	0
ASV.330	0	0	3	0
ASV.331	0	0	3	0
ASV.332	0	0	3	0
ASV.344	0	0	0	3
ASV.345	0	0	0	3
ASV.346	0	0	0	3
ASV.347	0	0	0	3
ASV.352	2	0	0	0
ASV.353	2	0	0	0
ASV.354	2	0	0	0
ASV.355	2	0	0	0
ASV.356	2	0	0	0
ASV.357	2	0	0	0
ASV.358	2	0	0	0
ASV.359	2	0	0	0
ASV.360	2	0	0	0
ASV.361	2	0	0	0
ASV.362	2	0	0	0
ASV.363	2	0	0	0
ASV.364	2	0	0	0
ASV.365	2	0	0	0
ASV.366	2	0	0	0
ASV.367	2	0	0	0
ASV.368	2	0	0	0
ASV.369	2	0	0	0
ASV.370	2	0	0	0
ASV.371	2	0	0	0
ASV.372	2	0	0	0
ASV.373	2	0	0	0
ASV.374	2	0	0	0
ASV.375	2	0	0	0
ASV.376	2	0	0	0
ASV.377	2	0	0	0
ASV.378	2	0	0	0
ASV.379	2	0	0	0
ASV.383	2	0	0	0
ASV.384	0	2	0	0
ASV.385	0	2	0	0
ASV.386	0	2	0	0
ASV.387	0	2	0	0
ASV.388	0	2	0	0
ASV.389	0	2	0	0
ASV.390	0	2	0	0
ASV.391	0	2	0	0
ASV.392	0	2	0	0
ASV.393	0	2	0	0
ASV.394	0	2	0	0
ASV.395	0	2	0	0
ASV.396	0	2	0	0
ASV.397	0	2	0	0
ASV.398	0	2	0	0
ASV.399	0	2	0	0
ASV.400	0	2	0	0
ASV.401	0	2	0	0
ASV.402	0	2	0	0
ASV.403	0	2	0	0
ASV.404	0	2	0	0
ASV.408	0	2	0	0
ASV.413	0	2	0	0
ASV.414	0	2	0	0
ASV.415	0	0	2	0
ASV.416	0	0	2	0
ASV.417	0	0	2	0
ASV.418	0	0	2	0
ASV.419	0	0	2	0
ASV.420	0	0	2	0
ASV.421	0	0	2	0
ASV.422	0	0	2	0
ASV.423	0	0	2	0
ASV.424	0	0	2	0
ASV.425	0	0	2	0
ASV.426	0	0	2	0
ASV.427	0	0	2	0
ASV.428	0	0	2	0
ASV.429	0	0	2	0
ASV.430	0	0	2	0
ASV.431	0	0	2	0
ASV.432	0	0	2	0
ASV.433	0	0	2	0
ASV.438	0	0	0	2
ASV.439	0	0	0	2
ASV.440	0	0	0	2
ASV.441	0	0	0	2
ASV.442	0	0	0	2
ASV.443	0	0	0	2
ASV.444	0	0	0	2
ASV.445	0	0	0	2
ASV.446	0	0	0	2
